source_id,survey,wave,original_name,section,description,answer_categories_and_codes,filter,anonymisation_rule,source_document,source_location,extraction_method,review_status
EHIS-W3-ANON-RULES,EHIS,3,HS1,Health status — Minimum European Health Module,Self-perceived general health,1 Very good,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 102",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,HS2,Health status — Minimum European Health Module,Long-standing health problem,1 Yes,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 108",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,HS3,Health status — Minimum European Health Module,Limitation in activities because of health problems,1 Severely limited,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 112",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,CD1A,Diseases and chronic conditions,Having asthma in the past 12 months (allergic asthma included),1 Yes,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 117",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,CD1B,Diseases and chronic conditions,"Having chronic bronchitis, chronic obstructive pulmonary disease or emphysema in the past 12 months",1 Yes,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 121",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,CD1C,Diseases and chronic conditions,Having a myocardial infarction (heart attack) or chronic consequences of myocardial infarction in the past 12 months,1 Yes,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 125",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,CD1D,Diseases and chronic conditions,Having a coronary heart disease or angina pectoris in the past 12 months,1 Yes,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 129",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,CD1E,Diseases and chronic conditions,Having high blood pressure in the past 12 months,1 Yes,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 133",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,CD1F,Diseases and chronic conditions,"Having a stroke (cerebral haemorrhage, cerebral thrombosis) or chronic consequences of stroke in the past 12 months",1 Yes,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 137",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,CD1G,Diseases and chronic conditions,Having arthrosis (arthritis excluded) in the past 12 months,1 Yes,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 141",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,CD1H,Diseases and chronic conditions,Having a low back disorder or other chronic back defect in the past 12 months,1 Yes,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 145",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,CD1I,Diseases and chronic conditions,Having a neck disorder or other chronic neck defect in the past 12 months,1 Yes,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 149",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,CD1J,Diseases and chronic conditions,Having diabetes in the past 12 months,1 Yes,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 153",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,CD1K,Diseases and chronic conditions,"Having an allergy, such as rhinitis, eye inflammation, dermatitis, food allergy or other (allergic asthma excluded) in the past 12 months",1 Yes,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 156",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,CD1L,Diseases and chronic conditions,Having cirrhosis of the liver in the past 12 months,1 Yes,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 160",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,CD1M,Diseases and chronic conditions,"Having urinary incontinence, problems in controlling the bladder in the past 12 months",1 Yes,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 164",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,CD1N,Diseases and chronic conditions,Having kidney problems in the past 12 months,1 Yes,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 167",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,CD1O,Diseases and chronic conditions,Having depression in the past 12 months,1 Yes,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 170",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,CD1P,Diseases and chronic conditions,Having high blood lipids in the past 12 months,1 Yes,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 173",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,CD2,Diseases and chronic conditions,Self-perceived general oral health,1 Very good,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 176",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,AC1A,Accidents and injuries,Occurrence of a road traffic accident in the past 12 months,1 Yes,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 183",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,AC1B,Accidents and injuries,Occurrence of an accident at home in the past 12 months,1 Yes,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 186",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,AC1C,Accidents and injuries,Occurrence of a leisure accident in the past 12 months,1 Yes,Everybody,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 189",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,AC2,Accidents and injuries,Most serious medical care intervention for the most serious accident in the past 12 months,1 Admission to a hospital or any other health facility,if,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 192",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,AW1,Absence from work (due to health problems),Absent from work due to personal health problems in the past 12 months,1 Yes,if MAINSTAT = 10,unaltered,EHIS wave 3 anonymisation rules.docx,"table 2, row 198",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,AW2,Absence from work (due to health problems),Number of days of absence from work due to personal health problems in the past 12 months,Number of days,if AW1 = 1,regrouped: 1. 1-7 days; 2. 8-14 days; 3. 15-30 days; 4. 31 to 180 days; 5. 181 days or moreCountry-specific rule:• MT and IS: categories '31 to 180 days' and '181 days or more' are grouped into one category '31 days or more' (code 4) MT: categories ‘Proxy’ (code -3) and ‘Not stated’ (code -1) are grouped into one category ‘Not stated’ (code -1),EHIS wave 3 anonymisation rules.docx,"table 2, row 202",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,PL1,Functional limitations,Wearing glasses or contact lenses,1 Yes,Everybody,"codes 2 and 3 put together as code 2 ""No""",EHIS wave 3 anonymisation rules.docx,"table 2, row 206",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,PL2,Functional limitations,"Difficulty in seeing, even when wearing glasses or contact lenses",1 No difficulty,If PL1 = 1 or 2 or -1,"recoding: for blind people (code 3 in PL1), code 4 is used",EHIS wave 3 anonymisation rules.docx,"table 2, row 210",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,PL3,Functional limitations,Use of a hearing aid,1 Yes,Everybody,"codes 2 and 3 put together as code 2 ""No""",EHIS wave 3 anonymisation rules.docx,"table 2, row 217",OOXML table grid,EXTRACTED_UNREVIEWED
EHIS-W3-ANON-RULES,EHIS,3,PL4,Functional limitations,Difficulty in hearing what is said in a conversation with one other person in a quiet room even when using a hearing aid,1 No difficulty,If PL3 = 1 or 2 or -1,"recoding: for deaf people (code 3 in PL3), code 4 is used",EHIS wave 3 anonymisation rules.docx,"table 2, row 222",OOXML table grid,EXTRACTED_UNREVIEWED
